,Date,Town,State/Province,Latitude,Longitude,Number,Image
130,10/2/2020,Media,PA,39.9,-75.4,7,
131,10/2/2020,New Ringgold,PA,40.6,-76,18,
132,10/1/2020,Walhalla,SC,34.8,-83.1,12,
133,10/1/2020,West Nyack,NY,41.1,-74,11,
134,10/1/2020,Wappingers Falls,NY,41.5,-74,12,
135,10/1/2020,Springdale,AR,36.2,-94.1,74,
136,10/1/2020,Fredericksburg,VA,38.2,-77.3,20,
137,10/1/2020,Del Rio,TX,29.5,-101,770,
138,10/1/2020,Blue Eye,MO,36.5,-93.3,100,
139,10/1/2020,Media,PA,39.9,-75.4,9,
140,10/1/2020,New Ringgold,PA,40.6,-76,6,
141,9/30/2020,Denton,TX,33.2,-97.1,50,
142,9/30/2020,Clifton Forge,VA,37.8,-79.8,5,
143,9/30/2020,Corpus Christi,TX,27.7,-97.5,500,
144,9/30/2020,Welling,OK,35.9,-94.9,12,
145,9/30/2020,Fort Smith,AR,35.3,-94.4,23,
146,9/30/2020,Locust Grove,OK,36.2,-95.2,800,
147,9/30/2020,Wichita Falls,TX,33.9,-98.6,10,
148,9/30/2020,Black Mountain,NC,35.6,-82.3,20,
149,9/30/2020,Washington,DC,39,-77,15,
150,9/30/2020,Del Rio,TX,29.5,-101,12,
151,9/30/2020,Mcveytown,PA,40.5,-77.8,8,
152,9/30/2020,Media,PA,39.9,-75.4,7,
153,9/29/2020,Claremore,OK,36.4,-95.5,200,
154,9/29/2020,Mount Mitchell,NC,35.8,-82.3,50,
155,9/29/2020,Glenpool,OK,35.9,-96,11,
156,9/29/2020,Mounds,OK,35.9,-95.9,16,
157,9/29/2020,Durant,OK,34,-96.4,100,
158,9/29/2020,Hartman,AR,35.5,-93.6,189,
159,9/29/2020,Broken Arrow,OK,36,-95.8,3,
160,9/29/2020,Whiteland,IN,39.6,-86,6,
161,9/29/2020,Locust Grove,OK,36.2,-95.2,100,
162,9/29/2020,Denton,TX,33.2,-97,100,
163,9/29/2020,Mckinney,TX,33.2,-96.7,12,
164,9/29/2020,Ash Grove,MO,37.4,-93.6,82,
165,9/29/2020,Red Oak,TX,32.6,-96.9,325,
166,9/29/2020,Ozark,AR,35.5,-93.9,58,
167,9/29/2020,Checotah,OK,35.4,-95.5,25,
168,9/29/2020,Welling,OK,35.9,-94.9,40,
169,9/29/2020,Fayetteville,AR,36.1,-94.2,46,
170,9/29/2020,Wichita Falls,TX,33.8,-98.6,30,
171,9/29/2020,Tribbey,OK,35.1,-97.2,25,
172,9/29/2020,Bixby,OK,36,-95.9,24,
173,9/29/2020,Garden City,MO,38.5,-94.2,34,
174,9/29/2020,Columbia,MD,39.2,-76.8,7,
175,9/29/2020,Dallas,TX,33,-96.8,40,
176,9/29/2020,Amherstburg,ON,42,-83,5,
177,9/29/2020,New Ringgold,PA,40.6,-76,4,
178,9/28/2020,Mannford,OK,36.1,-96.4,50,
179,9/28/2020,Brevard,NC,35.3,-82.8,33,
180,9/28/2020,Traphill,NC,36.3,-81,157,
181,9/28/2020,Mcveytown,PA,40.5,-77.8,7,
182,9/28/2020,New Ringgold,PA,40.6,-76,4,
183,9/27/2020,Saint Louis,MO,38.5,-90.4,12,
184,9/27/2020,Millville,NJ,39.2,-75,82,
185,9/27/2020,Saint Louis,MO,38.6,-90.4,20,
186,9/27/2020,Enid,OK,36.4,-97.9,7,
187,9/27/2020,Canton,NC,35.5,-82.8,48,
188,9/27/2020,Tulsa,OK,36.1,-96,250,
189,9/27/2020,Tulsa,OK,36.1,-96,50,
190,9/27/2020,Nebo,NC,35.8,-81.9,21,
191,9/27/2020,Bay Shore,NY,40.6,-73.2,26,
192,9/27/2020,Amherstburg,ON,42,-83,3,
193,9/27/2020,Media,PA,39.9,-75.4,3,
194,9/27/2020,New Ringgold,PA,40.6,-76,6,
195,9/26/2020,Wichita,KS,37.8,-97.3,70,
196,9/26/2020,Lenexa,KS,39,-94.7,43,
197,9/26/2020,Wappingers Falls,NY,41.5,-74,6,
198,9/26/2020,Pretty Prairie,KS,37.8,-97.8,350,
199,9/26/2020,Saint Louis,MO,38.6,-90.3,14,
200,9/26/2020,Tybee Island,GA,32,-80.9,30,
201,9/26/2020,Amherstburg,ON,42,-83,4,
202,9/25/2020,Shawnee,KS,39,-94.7,11,
203,9/25/2020,Enid,OK,36.4,-97.9,40,
204,9/25/2020,Basehor,KS,39.1,-94.9,200,
205,9/25/2020,Pottsville,AR,35.2,-93,10,
206,9/25/2020,Bay Shore,NY,40.6,-73.2,75,
207,9/25/2020,Central Elgin,ON,42.7,-81.2,12,
208,9/25/2020,Claflin,KS,38.4,-98.6,978,
209,9/25/2020,Liberal,MO,37.5,-94.6,55,
210,9/25/2020,Amherstburg,ON,42,-83,6,
211,9/25/2020,Mcveytown,PA,40.5,-77.8,6,
212,9/24/2020,Bay Shore,NY,40.6,-73.2,75,
213,9/24/2020,Bristol,TN,36.6,-82.1,15,
214,9/24/2020,Wichita,KS,37.7,-97.3,100,
215,9/24/2020,Tekamah,NE,41.8,-96.3,100,
216,9/24/2020,Amherstburg,ON,42,-83,6,
217,9/24/2020,Mcveytown,PA,40.5,-77.8,3,
218,9/24/2020,Media,PA,39.9,-75.4,3,
219,9/23/2020,Leawood,KS,38.9,-94.6,12,
220,9/23/2020,Topeka,KS,39,-95.7,30,
221,9/23/2020,Wichita,KS,37.7,-97.3,250,
222,9/23/2020,Wappingers Falls,NY,41.5,-74,6,
223,9/23/2020,Asheville,NC,35.6,-82.5,200,
224,9/23/2020,Black Mountain,NC,35.6,-82.3,12,
225,9/23/2020,Point Pelee National Park,ON,42,-82.5,50,
226,9/23/2020,Baldwin City,KS,38.8,-95.2,28,
227,9/23/2020,Amherstburg,ON,42,-83,6,
228,9/23/2020,Mcveytown,PA,40.5,-77.8,16,
229,9/23/2020,Media,PA,39.9,-75.4,7,
230,9/23/2020,New Ringgold,PA,40.6,-76,11,
231,9/22/2020,Topeka,KS,39,-95.7,97,
232,9/22/2020,Andover,KS,37.7,-97.1,50,
233,9/22/2020,Tecumseh,KS,39,-95.5,50,
234,9/22/2020,Thief River Falls,MN,48.1,-96.4,50,
235,9/22/2020,Asheville,NC,35.6,-82.5,38,
236,9/22/2020,Lees Summit,MO,38.9,-94.4,30,
237,9/22/2020,Amherstburg,ON,42,-83,3,
238,9/22/2020,New Ringgold,PA,40.6,-76,15,
239,9/21/2020,Savannah,MO,40,-94.9,100,
240,9/21/2020,Overland Park,KS,38.9,-94.6,47,
241,9/21/2020,Leawood,KS,39,-94.6,145,
242,9/21/2020,Claflin,KS,38.4,-98.6,789,
243,9/21/2020,Springfield,MO,37.2,-93.3,20,
244,9/21/2020,Lenexa,KS,39,-94.8,10,
245,9/21/2020,Kansas City,KS,39.1,-94.6,36,
246,9/21/2020,Amherstburg,ON,42,-83,9,
247,9/21/2020,Mcveytown,PA,40.5,-77.8,3,
248,9/21/2020,New Ringgold,PA,40.6,-76,6,
249,9/20/2020,Lawrence,KS,39,-95.3,27,
250,9/20/2020,Lenexa,KS,39,-94.7,28,
251,9/20/2020,Shawnee,KS,39,-94.7,25,
252,9/20/2020,Perryville,KY,37.7,-85,30,
253,9/20/2020,Olathe,KS,38.9,-94.8,100,
254,9/20/2020,Guilford,NY,42.4,-75.5,30,
255,9/20/2020,Guilford,NY,42.4,-75.5,30,
256,9/20/2020,Media,PA,39.9,-75.4,3,
257,9/19/2020,Shawnee,KS,39,-94.7,8,
258,9/19/2020,Topeka,KS,39.1,-95.7,9,
259,9/19/2020,Lebo,KS,38.5,-95.8,36,
260,9/19/2020,Manhattan,KS,39.1,-96.6,2816,
261,9/19/2020,Amherstburg,ON,42,-83,15,
262,9/19/2020,Mcveytown,PA,40.5,-77.8,4,
263,9/19/2020,Media,PA,39.9,-75.4,10,
264,9/19/2020,New Ringgold,PA,40.6,-76,27,
265,9/18/2020,Manhattan,KS,39.1,-96.6,1149,
266,9/18/2020,Wichita,KS,37.7,-97.3,105,
267,9/18/2020,Bluff City,KS,37.1,-97.9,45,
268,9/18/2020,Claflin,KS,38.4,-98.6,268,
269,9/18/2020,Mcveytown,PA,40.5,-77.8,4,
270,9/18/2020,Media,PA,39.9,-75.4,14,
271,9/18/2020,New Ringgold,PA,40.6,-76,50,
272,9/18/2020,Litchfield,CT,41.7,-73.2,10,
273,9/17/2020,Manistique,MI,46,-86.2,50,
274,9/17/2020,Urbana,IL,40.1,-88.2,50,
275,9/17/2020,Hooksett,NH,43,-71.4,8,
276,9/17/2020,Rossville,KS,39.1,-95.9,100,
277,9/17/2020,Creston,IA,41.1,-94.4,125,
278,9/17/2020,Claflin,KS,38.4,-98.6,425,
279,9/17/2020,Wichita,KS,37.8,-97.3,20,
280,9/17/2020,Sullivan,IN,39.1,-87.3,200,
281,9/17/2020,Indianapolis,IN,39.7,-86.1,3,
282,9/17/2020,Amherstburg,ON,42,-83,11,
283,9/17/2020,Mcveytown,PA,40.5,-77.8,51,
284,9/17/2020,New Ringgold,PA,40.6,-76,5,
285,9/16/2020,Waterford,CT,41.3,-72.1,17,
286,9/16/2020,Urbana,IL,40.1,-88.2,100,
287,9/16/2020,Village of Bayside,WI,43.2,-87.9,75,
288,9/16/2020,Maryville,MO,40.3,-94.9,85,
289,9/16/2020,Central Elgin,ON,42.7,-81.2,40,
290,9/16/2020,Central Elgin,ON,42.7,-81.2,9,
291,9/16/2020,Sawyer,MI,41.9,-86.6,50,
292,9/16/2020,Manhattan,KS,39.1,-96.6,45,
293,9/16/2020,Claflin,KS,38.4,-98.6,148,
294,9/16/2020,Waverly,IL,39.6,-90,185,
295,9/16/2020,Whitehall,MI,43.4,-86.4,200,
296,9/16/2020,Davenport,IA,41.5,-90.6,12,
297,9/16/2020,Hammond,IN,41.6,-87.5,97,
298,9/16/2020,Amherstburg,ON,42,-83,166,
299,9/16/2020,Mcveytown,PA,40.5,-77.8,170,
300,9/16/2020,Media,PA,39.9,-75.4,7,
301,9/16/2020,Litchfield,CT,41.7,-73.2,4,
302,9/15/2020,Munster,IN,41.6,-87.5,21,
303,9/15/2020,Iowa City,IA,41.6,-91.6,6,
304,9/15/2020,Manhattan,KS,39.1,-96.6,478,
305,9/15/2020,Kewanee,IL,41.2,-89.9,10000,
306,9/15/2020,Whitehall,MI,43.4,-86.4,26,
307,9/15/2020,Madison,WI,43,-89.3,21,
308,9/15/2020,Champaign,IL,40.1,-88.2,32,
309,9/15/2020,Claflin,KS,38.4,-98.6,137,
310,9/15/2020,Manteno,IL,41.3,-87.8,42,
311,9/15/2020,Amherstburg,ON,42,-83,255,
312,9/15/2020,North Grafton,MA,42.2,-71.7,25,
313,9/15/2020,Winterset,IA,41.3,-94.1,100,
314,9/15/2020,Griffith,IN,41.5,-87.4,26,
315,9/15/2020,Amherstburg,ON,42,-83,255,
316,9/15/2020,Mcveytown,PA,40.5,-77.8,41,
317,9/15/2020,Media,PA,39.9,-75.4,7,
318,9/15/2020,New Ringgold,PA,40.6,-76,25,
319,9/15/2020,Litchfield,CT,41.7,-73.2,3,
320,9/14/2020,Millstadt,IL,38.5,-90.1,200,
321,9/14/2020,Waunakee,WI,43.1,-89.4,77,
322,9/14/2020,Hampton,NH,42.9,-70.8,12,
323,9/14/2020,Monona,IA,43,-91.4,25,
324,9/14/2020,Claflin,KS,38.4,-98.6,98,
325,9/14/2020,Whitehall,MI,43.4,-86.4,150,
326,9/14/2020,Patchogue,NY,40.7,-73,80,
327,9/14/2020,Amherstburg,ON,42,-83,45,
328,9/14/2020,Mcveytown,PA,40.5,-77.8,243,
329,9/14/2020,Media,PA,39.9,-75.4,6,
330,9/14/2020,New Ringgold,PA,40.6,-76,285,
331,9/14/2020,Litchfield,CT,41.7,-73.2,11,
332,9/13/2020,Chicago,IL,41.9,-87.7,200,
333,9/13/2020,Chicago,IL,41.9,-87.7,80,
334,9/13/2020,Mississauga,ON,43.7,-79.6,31,
335,9/13/2020,Bellevue,OH,41.3,-82.8,100,
336,9/13/2020,Munster,IN,41.6,-87.5,30,
337,9/13/2020,Park Ridge,IL,42,-87.8,6,
338,9/13/2020,Westchester,IL,41.8,-87.9,35,
339,9/13/2020,Howell,MI,42.7,-84,15,
340,9/13/2020,Oak Creek,WI,42.9,-87.8,207,
341,9/13/2020,Urbana,IL,40.1,-88.2,75,
342,9/13/2020,Westchester,IL,41.8,-87.9,200,
343,9/13/2020,Sullivan,IN,39.1,-87.3,300,
344,9/13/2020,Amherstburg,ON,42,-83,30,
345,9/13/2020,Mcveytown,PA,40.5,-77.8,152,
346,9/13/2020,New Ringgold,PA,40.6,-76,10,
347,9/13/2020,Litchfield,CT,41.7,-73.2,10,
348,9/12/2020,Madison,OH,41.8,-81,277,
349,9/12/2020,South Milwaukee,WI,42.9,-87.9,79,
350,9/12/2020,Eastlake,OH,41.7,-81.4,100,
351,9/12/2020,Milwaukee,WI,43,-87.9,220,
352,9/12/2020,Pleasant Hill,IA,41.6,-93.5,100,
353,9/12/2020,Huron,OH,41.4,-82.5,200,
354,9/12/2020,Green Springs,OH,41.3,-83.1,100,
355,9/12/2020,Whitehouse,OH,41.5,-83.8,50,
356,9/12/2020,Swanton,OH,41.6,-83.8,50,
357,9/12/2020,Kenosha,WI,42.6,-87.9,50,
358,9/12/2020,Ashfield-Colborne-Wawanosh,ON,43.9,-81.7,193,
359,9/12/2020,Davenport,IA,41.5,-90.6,4,
360,9/12/2020,Mequon,WI,43.2,-87.9,54,
361,9/12/2020,Cleveland,OH,41.5,-81.7,400,
362,9/12/2020,South Milwaukee,WI,42.9,-87.9,105,
363,9/12/2020,Amherstburg,ON,42,-83,50,
364,9/12/2020,Mcveytown,PA,40.5,-77.8,3,
365,9/12/2020,Media,PA,39.9,-75.4,3,
366,9/12/2020,New Ringgold,PA,40.6,-76,23,
367,9/12/2020,Litchfield,CT,41.7,-73.2,15,
368,9/11/2020,Chicago,IL,41.9,-87.6,300,
369,9/11/2020,Chicago,IL,41.9,-87.6,50,
370,9/11/2020,Chicago,IL,41.9,-87.6,20,
371,9/11/2020,Mears,MI,43.7,-86.5,500,
372,9/11/2020,Shelby,MI,43.6,-86.5,1000,
373,9/11/2020,South Haven,MI,42.4,-86.3,50,
374,9/11/2020,Central Elgin,ON,42.7,-81.2,24,
375,9/11/2020,Central Elgin,ON,42.7,-81.2,16,
376,9/11/2020,Stamford,CT,41,-73.5,200,
377,9/11/2020,South Haven,MI,42.4,-86.3,126,
378,9/11/2020,Montague,MI,43.5,-86.5,100,
379,9/11/2020,Pentwater,MI,43.8,-86.4,800,
380,9/11/2020,Amherstburg,ON,42,-83,10,
381,9/11/2020,Mcveytown,PA,40.5,-77.8,52,
382,9/11/2020,New Ringgold,PA,40.6,-76,139,
383,9/11/2020,Litchfield,CT,41.7,-73.2,31,
384,9/10/2020,Ajax,ON,43.8,-79,321,
385,9/10/2020,Tawas City,MI,44.3,-83.5,62,
386,9/10/2020,Toronto,ON,43.8,-79.1,40,
387,9/10/2020,Amherstburg,ON,42,-83,15,
388,9/9/2020,Cleveland,OH,41.6,-81.6,199,
389,9/9/2020,Piercefield,NY,44.3,-74.6,100,
390,9/9/2020,Cleveland,OH,41.5,-81.7,50,
391,9/9/2020,Amherstburg,ON,42,-83,113,
392,9/9/2020,Mcveytown,PA,40.5,-77.8,32,
393,9/9/2020,New Ringgold,PA,40.6,-76,6,
394,9/9/2020,Litchfield,CT,41.7,-73.2,3,
395,9/8/2020,Central Elgin,ON,42.7,-81.2,100,
396,9/8/2020,Tiffin,OH,41.1,-83.2,95,
397,9/8/2020,Central Elgin,ON,42.7,-81.2,200,
398,9/8/2020,Freeport,ME,43.8,-70.1,11,
399,9/8/2020,Amherstburg,ON,42,-83,23,
400,9/8/2020,Mcveytown,PA,40.5,-77.8,36,
401,9/8/2020,Litchfield,CT,41.7,-73.2,3,
402,9/7/2020,Two Rivers,WI,44.1,-87.6,200,
403,9/7/2020,Hooksett,NH,43,-71.4,8,
404,9/7/2020,Harrisville,MI,44.6,-83.3,359,
405,9/7/2020,East Tawas,MI,44.3,-83.5,50,
406,9/7/2020,Toronto,ON,43.6,-79.4,600,
407,9/7/2020,Wernersville,PA,40.3,-76.1,15,
408,9/7/2020,Redwood,NY,44.4,-75.8,20,
409,9/7/2020,Wappingers Falls,NY,41.5,-74,6,
410,9/7/2020,Houghton Lake,MI,44.4,-84.8,4000,
411,9/7/2020,Amherstburg,ON,42,-83,25,
412,9/7/2020,Mcveytown,PA,40.5,-77.8,78,
413,9/7/2020,Media,PA,39.9,-75.4,3,
414,9/7/2020,New Ringgold,PA,40.6,-76,39,
415,9/7/2020,Litchfield,CT,41.7,-73.2,3,
416,9/6/2020,The North Shore,ON,46.1,-82.6,175,
417,9/6/2020,Newcastle,ON,43.9,-78.6,100,
418,9/6/2020,St Catharines,ON,43.2,-79.3,300,
419,9/6/2020,Sterling,NY,43.4,-76.7,200,
420,9/6/2020,Mount Holly,VT,43.5,-72.8,12,
421,9/6/2020,Grayling,MI,44.8,-84.5,75,
422,9/6/2020,Point Pelee National Park,ON,41.9,-82.5,20,
423,9/6/2020,Port Hope,ON,43.9,-78.3,200,
424,9/6/2020,Kennebunk,ME,43.3,-70.5,100,
425,9/6/2020,Belmont,MI,43.1,-85.6,8,
426,9/6/2020,Amherstburg,ON,42,-83,43,
427,9/6/2020,Mcveytown,PA,40.5,-77.8,16,
428,9/6/2020,New Ringgold,PA,40.6,-76,17,
429,9/5/2020,Shawano,WI,44.8,-88.5,100,
430,9/5/2020,Wichita,KS,37.7,-97.4,30,
431,9/5/2020,Sheboygan,WI,43.8,-87.7,100,
432,9/5/2020,Roscommon,MI,44.4,-84.7,50,
433,9/5/2020,Duluth,MN,46.8,-92.1,13,
434,9/5/2020,Edgerton,WI,42.9,-89,200,
435,9/5/2020,Town of Two Rivers,WI,44.2,-87.5,50,
436,9/5/2020,Amherstburg,ON,42,-83,13,
437,9/5/2020,Mcveytown,PA,40.5,-77.8,89,
438,9/5/2020,New Ringgold,PA,40.6,-76,30,
439,9/4/2020,Shawano,WI,44.8,-88.5,60,
440,9/4/2020,Ottawa,ON,45.2,-76,200,
441,9/4/2020,Vulcan,MI,45.8,-87.8,15,
442,9/4/2020,Town of Arlington,WI,43.3,-89.4,23,
443,9/4/2020,Amherstburg,ON,42,-83,8,
444,9/4/2020,Mcveytown,PA,40.5,-77.8,86,
445,9/4/2020,Media,PA,39.9,-75.4,3,
446,9/4/2020,New Ringgold,PA,40.6,-76,46,
447,9/3/2020,Lincoln,ON,43.2,-79.5,47,
448,9/3/2020,Norfolk,ON,42.6,-80.5,20,
449,9/3/2020,Oro-Medonte,ON,44.7,-80,200,
450,9/3/2020,Central Elgin,ON,42.7,-81.2,100,
451,9/3/2020,Point Pelee National Park,ON,41.9,-82.5,17,
452,9/3/2020,St Catharines,ON,43.2,-79.2,212,
453,9/3/2020,Painesville,OH,41.8,-81.3,100,
454,9/3/2020,Amherstburg,ON,42,-83,3,
455,9/3/2020,Mcveytown,PA,40.5,-77.8,6,
456,9/3/2020,New Ringgold,PA,40.6,-76,5,
457,9/2/2020,Morgantown,WV,39.6,-80,13,
458,9/2/2020,Amherstburg,ON,42,-83,8,
459,9/1/2020,Goderich,ON,43.7,-81.7,119,
460,9/1/2020,Shawano,WI,44.8,-88.5,12,
461,9/1/2020,Youngstown,NY,43.3,-79.1,191,
462,9/1/2020,Amherstburg,ON,42,-83,10,
463,8/31/2020,Painesville,OH,41.8,-81.3,1000,
464,8/31/2020,Youngstown,NY,43.3,-79,70,
465,8/31/2020,Dundee Centre,QC,45,-74.4,50,
466,8/31/2020,New Ringgold,PA,40.6,-76,9,
467,8/30/2020,Newcastle,ON,43.9,-78.6,100,
468,8/30/2020,Toronto,ON,43.6,-79.4,296,
469,8/30/2020,Newcastle,ON,43.9,-78.6,100,
470,8/30/2020,Ajax,ON,43.9,-79,20,
471,8/30/2020,East Tawas,MI,44.3,-83.4,5000,
472,8/30/2020,Rogers,MN,45.2,-93.6,300,
473,8/30/2020,Mississauga,ON,43.6,-79.7,30,
474,8/30/2020,Mystic,CT,41.3,-72,12,
